Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"CANNED PALM'S SEED (ATTAP) IN HEAVY SYRUP""X.O""/ TAMARIND WITH SUGAR & CHILLI ""X.O""",200899,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"PICKLED PINK GINGER (SLICES) ""X.O""",200190,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"DRIED RED CHILLI W/O STEM (SMALL //YOD-SON)""X.O""",090422,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"CHILLI PASTE WITH HOLY/SWEET BASIL LEAVES ""X.O""/ OYSTER SAUCE (EXPORT LABEL) ""MAEKRUA""",210390,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"WHITE TAPIOCA PEARL (LARGE) ""X.O""",190300,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"RICE FLOUR (POLY BAG)""X.O""",110290,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TD INTER SUPPLIES,"MONOSODIUM GLUTAMATE ""AJI-NO-MOTO""",292242,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"THAI HA PUBLIC CO.,LTD",RICE,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,"THAI SUMMIT MARKETING CO., LTD.",FROZEN CHICKEN,020714,,,,,,,,,,,,,,,,,,,,,,,
MEEN,THAI WAH PUBLIC COMPANY LIMITED,TAPIOCA STARCH,,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TOUMI INTERTRADE COMPANY LIMITED,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
MEEN,TPI POLENE PUBLIC COMPANY LIMITED,FIBER CEMENT BOARD,681182,,,,,,,,,,,,,,,,,,,,,,,
MEEN,UNICORD PUBLIC COMPANY LIMITED,CANNED PET FOODS,230910,,,,,,,,,,,,,,,,,,,,,,,
MEEN,VANEDA FOODS,FROZEN CHICKEN,271499,,,,,,,,,,,,,,,,,,,,,,,
MEEN,YAN WAL YUN CORPORATION GROUP,FOODSTUFFS,,,,,,,,,,,,,,,,,,,,,,,,
FEWW,BIRLA CARBON,RUBBER PRODUCTS (CARBON BLACK),28030041,,,,,,,,,,,,,,,,,,,,,,,
FEWW,CHEF'S CHOICE FOODS MANUFACTURER,FROZEN COCONUT MILK,210690,,,,,,,,,,,,,,,,,,,,,,,
FEWW,CHEF'S CHOICE FOODS MANUFACTURER,FROZEN LYCHEE,81190,,,,,,,,,,,,,,,,,,,,,,,
FEWW,DOUBLE A (1991) PUBLIC COMPANY LIMITED,PRINTED MATERIAL & PAPER PRODUCT,480256,,,,,,,,,,,,,,,,,,,,,,,
FEWW,HERBA BANGKOK SOCIEDAD LIMITADA,RICE,100630,,,,,,,,,,,,,,,,,,,,,,,
FEWW,KANG YONG ELECTRIC PUBLIC,ELECTRONIC GOODS,,,,,,,,,,,,,,,,,,,,,,,,
